user_id,funny,posted,item_id,helpful,recommend,sentiment_analysis
76561198061730629,,2014,550,0 of 1 people (0%) found this review helpful,True,1
YoHuNz,,2014,440,1 of 1 people (100%) found this review helpful,True,1
YoHuNz,,2014,570,1 of 1 people (100%) found this review helpful,True,1
possessioniskey,,2015,72850,1 of 1 people (100%) found this review helpful,True,1
possessioniskey,,2015,440,No ratings yet,True,1
possessioniskey,,2014,113400,No ratings yet,True,1
76561198093112529,,2014,440,3 of 3 people (100%) found this review helpful,True,2
76561198060447950,,2015,200510,No ratings yet,True,1
whiteofwolfing,,2015,730,2 of 2 people (100%) found this review helpful,True,2
sergarino,524 people found this review funny,2015,383080,424 of 470 people (90%) found this review helpful,True,1
76561198081962345,,2014,1250,No ratings yet,True,1
Nozomikat,4 people found this review funny,2015,265610,28 of 41 people (68%) found this review helpful,True,1
Nozomikat,1 person found this review funny,2014,264200,4 of 4 people (100%) found this review helpful,True,1
Nozomikat,3 people found this review funny,2015,417860,2 of 2 people (100%) found this review helpful,True,1
Nozomikat,1 person found this review funny,2015,333600,2 of 2 people (100%) found this review helpful,True,1
Nozomikat,1 person found this review funny,2014,213670,2 of 2 people (100%) found this review helpful,True,1
Nozomikat,1 person found this review funny,2013,91310,1 of 1 people (100%) found this review helpful,True,1
Nozomikat,1 person found this review funny,2013,210770,No ratings yet,True,1
xfluttersx,12 people found this review funny,2015,351640,97 of 102 people (95%) found this review helpful,True,1
xfluttersx,1 person found this review funny,2012,105600,2 of 3 people (67%) found this review helpful,True,1
xfluttersx,,2014,440,3 of 6 people (50%) found this review helpful,True,1
xfluttersx,,2013,47870,1 of 3 people (33%) found this review helpful,True,1
xfluttersx,,2015,383080,0 of 2 people (0%) found this review helpful,True,1
xfluttersx,,2012,410,0 of 3 people (0%) found this review helpful,True,1
76561198056290589,,2014,730,No ratings yet,True,2
ii_voltage_ii,,2014,253710,1 of 2 people (50%) found this review helpful,False,1
ii_voltage_ii,3 people found this review funny,2015,339280,2 of 5 people (40%) found this review helpful,True,1
ii_voltage_ii,,2014,271290,No ratings yet,True,1
ii_voltage_ii,,2013,203290,No ratings yet,True,1
76561198097762318,1 person found this review funny,2015,440,No ratings yet,True,1
76561198097762318,,2014,233150,No ratings yet,True,1
Hirukaz,,2013,550,0 of 1 people (0%) found this review helpful,True,1
StelerForYou,1 person found this review funny,2015,730,1 of 1 people (100%) found this review helpful,True,1
StelerForYou,,2013,211820,No ratings yet,True,1
76561198183396245,,2015,440,No ratings yet,True,1
Xx-Woods,,2015,224260,No ratings yet,True,1
Xx-Woods,,2014,317360,No ratings yet,True,1
Xx-Woods,,2014,295550,No ratings yet,True,1
Xx-Woods,,2014,250180,No ratings yet,True,1
Xx-Woods,,2014,227940,No ratings yet,True,1
Xx-Woods,,2014,17520,No ratings yet,True,1
Xx-Woods,,2014,113420,No ratings yet,True,2
kevinator23,2 people found this review funny,2015,320760,4 of 6 people (67%) found this review helpful,True,1
kevinator23,,2015,8850,1 of 1 people (100%) found this review helpful,True,1
kevinator23,,2014,233720,1 of 1 people (100%) found this review helpful,True,1
kevinator23,1 person found this review funny,2015,218620,2 of 5 people (40%) found this review helpful,True,1
kevinator23,,2015,730,0 of 1 people (0%) found this review helpful,True,1
kevinator23,,2015,219740,No ratings yet,True,2
kevinator23,,2014,220240,No ratings yet,True,1
kevinator23,,2012,440,No ratings yet,True,1
76561198090715178,,2014,4000,1 of 1 people (100%) found this review helpful,True,2
76561198090715178,,2014,304930,No ratings yet,True,1
CatsWhale,,2015,333950,1 of 2 people (50%) found this review helpful,True,1
CatsWhale,,2015,388520,No ratings yet,True,1
CatsWhale,,2014,107410,No ratings yet,True,1
CatsWhale,,2014,206210,No ratings yet,True,2
76561198073784601,,2015,221100,3 of 6 people (50%) found this review helpful,True,1
mimimomoma,,2015,730,No ratings yet,True,1
76561198102410011,,2015,440,No ratings yet,True,1
de_Butl3r,,2014,209870,3 of 8 people (38%) found this review helpful,True,1
Bluezap1,,2015,440,1 of 1 people (100%) found this review helpful,True,1
Bluezap1,,2015,730,1 of 1 people (100%) found this review helpful,True,2
Bluezap1,,2015,362890,No ratings yet,True,1
Bluezap1,,2015,413850,No ratings yet,True,1
76561198074200011,,2015,730,No ratings yet,True,1
L1J1N,1 person found this review funny,2014,570,1 of 2 people (50%) found this review helpful,True,1
Lord_Exploit,1 person found this review funny,2015,311560,6 of 10 people (60%) found this review helpful,True,1
Lord_Exploit,,2015,322170,No ratings yet,True,1
AVATAR715,,2014,48240,4 of 4 people (100%) found this review helpful,False,1
AVATAR715,,2015,440,1 of 1 people (100%) found this review helpful,True,1
AVATAR715,,2014,248570,1 of 1 people (100%) found this review helpful,True,1
AVATAR715,,2014,264140,1 of 1 people (100%) found this review helpful,True,1
AVATAR715,,2014,4000,1 of 1 people (100%) found this review helpful,True,1
AVATAR715,,2015,266430,1 of 2 people (50%) found this review helpful,True,2
AVATAR715,,2015,316010,2 of 5 people (40%) found this review helpful,True,1
AVATAR715,,2014,249570,1 of 3 people (33%) found this review helpful,True,2
76561198078752187,,2014,240,No ratings yet,True,1
A-Very-Sly-Person,,2015,304930,No ratings yet,True,1
A-Very-Sly-Person,,2014,440,No ratings yet,True,1
76561197994493402,,2015,264200,No ratings yet,True,1
76561197994493402,,2014,440,No ratings yet,True,1
76561198065656175,,2015,383080,1 of 1 people (100%) found this review helpful,True,1
97396295,,2014,301520,1 of 2 people (50%) found this review helpful,True,1
97396295,,2014,243870,3 of 6 people (50%) found this review helpful,True,1
97396295,,2014,218230,1 of 5 people (20%) found this review helpful,False,1
76561198126640317,1 person found this review funny,2015,251570,9 of 12 people (75%) found this review helpful,True,1
76561198126640317,,2015,221100,1 of 3 people (33%) found this review helpful,True,1
76561198126640317,,2015,316010,0 of 2 people (0%) found this review helpful,True,1
76561198126640317,,2015,218230,No ratings yet,True,1
76561198126640317,,2015,333930,No ratings yet,True,1
76561198126640317,,2015,222880,No ratings yet,True,1
76561198126640317,,2015,730,No ratings yet,True,1
DemonicWolvz,,2015,55230,1 of 1 people (100%) found this review helpful,True,1
DemonicWolvz,,2015,232090,No ratings yet,True,1
DemonicWolvz,,2015,4000,No ratings yet,True,1
DemonicWolvz,,2014,206420,No ratings yet,True,1
DemonicWolvz,,2014,224260,No ratings yet,True,1
DemonicWolvz,,2013,550,No ratings yet,True,1
DieMadchenschanderin,,2015,346110,0 of 1 people (0%) found this review helpful,True,1
DieMadchenschanderin,,2015,380770,0 of 5 people (0%) found this review helpful,False,1
DieMadchenschanderin,,2013,227680,No ratings yet,False,1
GGargula,,2015,233250,2 of 5 people (40%) found this review helpful,True,1
getf0kinn0sc0pedm9,1 person found this review funny,2015,730,2 of 2 people (100%) found this review helpful,True,1
76561198141443390,3 people found this review funny,2015,730,3 of 4 people (75%) found this review helpful,True,1
whodafuqisthisguilao,,2015,730,No ratings yet,True,1
Magjiikal,,2015,370480,2 of 2 people (100%) found this review helpful,True,1
Magjiikal,,2015,313740,1 of 2 people (50%) found this review helpful,True,1
ohnospaghet,,2014,1840,1 of 1 people (100%) found this review helpful,True,1
ohnospaghet,,2014,440,1 of 1 people (100%) found this review helpful,True,1
ohnospaghet,,2015,266210,1 of 2 people (50%) found this review helpful,True,1
ohnospaghet,,2015,264200,No ratings yet,True,1
2768820078,4 people found this review funny,2015,287700,4 of 5 people (80%) found this review helpful,True,1
2768820078,,2015,377160,No ratings yet,True,1
2768820078,,2015,221380,No ratings yet,True,1
2768820078,,2015,333950,No ratings yet,True,1
2768820078,,2015,222420,No ratings yet,False,1
2768820078,,2015,271590,No ratings yet,True,1
2768820078,,2015,298110,No ratings yet,True,1
2768820078,,2015,222440,No ratings yet,True,1
2d4nk4m3,,2014,317470,No ratings yet,False,1
2d4nk4m3,,2014,47410,No ratings yet,True,1
76561198095921854,,2015,245620,2 of 3 people (67%) found this review helpful,True,2
EizanAratoFujimaki,5 people found this review funny,2015,70,14 of 19 people (74%) found this review helpful,True,1
TeCool,,2014,274980,20 of 23 people (87%) found this review helpful,True,1
TeCool,,2014,202090,1 of 2 people (50%) found this review helpful,True,1
TeCool,,2015,339280,1 of 4 people (25%) found this review helpful,True,1
TeCool,1 person found this review funny,2015,314130,1 of 5 people (20%) found this review helpful,False,1
2xDelorean,,2015,570,No ratings yet,True,1
2xDelorean,1 person found this review funny,2013,212680,No ratings yet,True,1
2xDelorean,,2013,200210,No ratings yet,True,1
2xDelorean,,2011,440,No ratings yet,True,2
washington_,,2015,417860,No ratings yet,True,1
jewxxl,,2015,251970,5 of 8 people (63%) found this review helpful,True,1
76561198088944293,,2014,304930,No ratings yet,True,1
76561198092540221,,2015,400,No ratings yet,True,1
76561198092540221,,2015,620,No ratings yet,True,1
76561198092540221,,2015,238460,No ratings yet,True,1
76561198092540221,,2015,6060,No ratings yet,True,1
76561198092540221,,2014,440,No ratings yet,True,1
76561198051258119,,2015,730,2 of 3 people (67%) found this review helpful,True,1
nubquake123,,2014,265610,3 of 3 people (100%) found this review helpful,True,1
Pyromanic,1 person found this review funny,2013,31280,1 of 1 people (100%) found this review helpful,True,1
Pyromanic,,2013,4000,1 of 1 people (100%) found this review helpful,True,1
Pyromanic,,2013,240,No ratings yet,True,1
CobRazor,,2015,252490,0 of 1 people (0%) found this review helpful,True,1
relesprit,,2013,8930,2 of 2 people (100%) found this review helpful,True,2
WitchHunter4542,,2014,304930,1 of 1 people (100%) found this review helpful,True,1
WitchHunter4542,,2015,237310,No ratings yet,True,1
WitchHunter4542,,2014,224260,No ratings yet,True,1
pwrt,103 people found this review funny,2015,230410,131 of 188 people (70%) found this review helpful,True,1
pwrt,,2014,440,2 of 2 people (100%) found this review helpful,True,1
wantmahbody,,2014,440,1 of 1 people (100%) found this review helpful,True,1
benedictcuminherbatch,,2014,570,0 of 1 people (0%) found this review helpful,True,1
76561198031207016,,2014,8930,1 of 1 people (100%) found this review helpful,True,1
76561198043458582,,2015,105600,2 of 2 people (100%) found this review helpful,True,1
76561198043458582,,2015,221100,1 of 3 people (33%) found this review helpful,True,1
76561198043458582,,2015,107410,No ratings yet,True,1
76561198043458582,,2014,231430,No ratings yet,True,1
smashiroshh,,2014,218620,No ratings yet,True,2
killbunny38,2 people found this review funny,2015,570,2 of 3 people (67%) found this review helpful,True,1
killbunny38,,2015,333930,No ratings yet,False,1
76561198047630659,,2015,230410,2 of 6 people (33%) found this review helpful,False,1
1337lolroflmao,1 person found this review funny,2015,271590,1 of 2 people (50%) found this review helpful,True,1
1337lolroflmao,,2014,218620,1 of 2 people (50%) found this review helpful,True,1
1337lolroflmao,1 person found this review funny,2013,219740,1 of 2 people (50%) found this review helpful,True,1
1337lolroflmao,,2013,7940,1 of 3 people (33%) found this review helpful,True,1
1337lolroflmao,,2014,234190,0 of 1 people (0%) found this review helpful,True,1
1337lolroflmao,,2013,10180,0 of 2 people (0%) found this review helpful,True,1
1337lolroflmao,,2013,33900,0 of 2 people (0%) found this review helpful,True,1
1337lolroflmao,,2015,261030,0 of 3 people (0%) found this review helpful,True,1
1337lolroflmao,,2014,243470,0 of 3 people (0%) found this review helpful,True,1
sithjjf,,2015,302830,0 of 1 people (0%) found this review helpful,False,1
76561198060039459,,2014,570,No ratings yet,False,0
OzfurAtlas,,2013,212680,1 of 2 people (50%) found this review helpful,True,1
76561198065593074,1 person found this review funny,2015,304930,1 of 3 people (33%) found this review helpful,False,1
76561198065593074,,2015,304050,No ratings yet,True,1
76561198065593074,,2014,203750,No ratings yet,True,1
76561198044169764,,2015,227940,2 of 2 people (100%) found this review helpful,False,1
76561198044169764,1 person found this review funny,2015,355180,0 of 1 people (0%) found this review helpful,False,1
76561198044169764,,2015,4000,No ratings yet,True,1
euzi,,2014,236390,0 of 1 people (0%) found this review helpful,True,2
76561197961778802,,2014,730,No ratings yet,True,1
thisissohardtomakeoneup,,2014,440,3 of 3 people (100%) found this review helpful,True,1
76561198087010391,,2015,4000,2 of 2 people (100%) found this review helpful,True,1
66666669999999,,2015,302830,No ratings yet,False,1
76561198061174192,,2014,220200,No ratings yet,True,2
76561198061174192,,2014,242760,No ratings yet,True,1
ReMiXOfficalSteam,,2015,352460,1 of 3 people (33%) found this review helpful,True,1
Wilfire77,2 people found this review funny,2015,322920,3 of 7 people (43%) found this review helpful,True,1
76561198084390807,,2015,234792,No ratings yet,True,1
76561198084390807,,2014,252490,No ratings yet,True,1
Mastic,16 people found this review funny,2015,304050,95 of 173 people (55%) found this review helpful,False,1
Mastic,1 person found this review funny,2014,550,1 of 1 people (100%) found this review helpful,True,1
Mastic,,2014,206420,1 of 2 people (50%) found this review helpful,True,1
76561198028286104,1 person found this review funny,2013,10180,2 of 2 people (100%) found this review helpful,True,1
tarjla,,2014,304930,4 of 5 people (80%) found this review helpful,True,1
tarjla,2 people found this review funny,2015,265750,7 of 11 people (64%) found this review helpful,True,1
tarjla,1 person found this review funny,2014,252490,2 of 3 people (67%) found this review helpful,True,1
tarjla,,2013,4000,2 of 3 people (67%) found this review helpful,True,1
tarjla,,2013,211820,0 of 1 people (0%) found this review helpful,True,1
tarjla,,2013,105600,0 of 1 people (0%) found this review helpful,True,1
tarjla,,2014,730,0 of 2 people (0%) found this review helpful,True,1
deathnz1,,2014,276340,0 of 7 people (0%) found this review helpful,True,2
76561198104393251,1 person found this review funny,2015,304930,No ratings yet,True,2
redsncrimson,,2014,274920,1 of 1 people (100%) found this review helpful,True,1
redsncrimson,,2013,211820,0 of 1 people (0%) found this review helpful,True,1
redsncrimson,,2013,49520,No ratings yet,True,1
redsncrimson,,2013,223510,No ratings yet,True,1
redsncrimson,,2012,440,No ratings yet,True,1
H1DD3NT3RR0R,1 person found this review funny,2014,240,3 of 4 people (75%) found this review helpful,True,1
H1DD3NT3RR0R,,2014,105600,2 of 3 people (67%) found this review helpful,True,1
H1DD3NT3RR0R,,2013,204300,3 of 7 people (43%) found this review helpful,True,1
H1DD3NT3RR0R,1 person found this review funny,2014,730,1 of 3 people (33%) found this review helpful,True,1
H1DD3NT3RR0R,3 people found this review funny,2015,440,1 of 4 people (25%) found this review helpful,False,1
H1DD3NT3RR0R,1 person found this review funny,2014,570,1 of 5 people (20%) found this review helpful,True,1
76561198071214618,,2015,268750,No ratings yet,True,1
76561198115115631,,2015,570,1 of 1 people (100%) found this review helpful,True,1
76561198071175142,,2015,570,0 of 1 people (0%) found this review helpful,True,1
76561198071175142,,2015,271590,0 of 1 people (0%) found this review helpful,True,1
t8s,,2015,360870,1 of 1 people (100%) found this review helpful,True,1
t8s,1 person found this review funny,2015,730,1 of 1 people (100%) found this review helpful,True,1
pikawuu2,,2013,12900,0 of 2 people (0%) found this review helpful,True,2
Sammeh00,,2014,301520,0 of 3 people (0%) found this review helpful,True,1
Michaelele,,2014,6060,2 of 2 people (100%) found this review helpful,True,1
Michaelele,,2014,730,1 of 2 people (50%) found this review helpful,True,1
Michaelele,,2014,107410,No ratings yet,True,1
Michaelele,,2014,304930,No ratings yet,True,1
76561198045754869,3 people found this review funny,2015,335670,2 of 2 people (100%) found this review helpful,True,1
76561198076098774,,2015,215080,No ratings yet,True,2
76561198103253374,,2014,570,No ratings yet,True,0
76561198048417105,,2015,271590,1 of 1 people (100%) found this review helpful,True,1
76561198048417105,,2015,730,1 of 1 people (100%) found this review helpful,True,1
76561198090842891,,2015,8190,0 of 1 people (0%) found this review helpful,True,1
76561198055767971,,2015,247730,0 of 1 people (0%) found this review helpful,False,1
76561197998052647,,2014,233630,No ratings yet,True,1
76561198145436942,1 person found this review funny,2014,221100,4 of 5 people (80%) found this review helpful,True,1
jjas01,,2014,208812,16 of 20 people (80%) found this review helpful,False,1
jjas01,,2015,218620,10 of 10 people (100%) found this review helpful,False,1
jjas01,,2013,243120,3 of 3 people (100%) found this review helpful,True,1
jjas01,,2015,234140,2 of 2 people (100%) found this review helpful,True,1
jjas01,,2014,204450,2 of 2 people (100%) found this review helpful,True,1
jjas01,,2014,225260,2 of 2 people (100%) found this review helpful,True,1
jjas01,,2013,50300,2 of 2 people (100%) found this review helpful,True,1
jjas01,,2014,201810,4 of 6 people (67%) found this review helpful,True,1
3xotic26,,2014,500,3 of 4 people (75%) found this review helpful,True,1
3xotic26,,2014,440,1 of 1 people (100%) found this review helpful,True,1
3xotic26,,2014,49520,1 of 2 people (50%) found this review helpful,True,1
3xotic26,,2013,550,1 of 2 people (50%) found this review helpful,True,2
iamthetrashlord,,2015,206420,No ratings yet,True,1
iamthetrashlord,,2014,213670,No ratings yet,True,1
3dster,,2015,550,0 of 1 people (0%) found this review helpful,True,2
76561198079990063,,2014,231040,No ratings yet,True,1
Forty-Nine,,2014,221100,0 of 2 people (0%) found this review helpful,True,1
76561198051017916,,2015,351040,No ratings yet,True,1
76561198051017916,,2014,250600,No ratings yet,True,1
L4M1NAS,,2015,221100,No ratings yet,True,1
76561197995322437,,2015,264710,1 of 1 people (100%) found this review helpful,True,1
imsojipper,,2014,218620,1 of 1 people (100%) found this review helpful,True,1
76561198084542731,,2015,206420,No ratings yet,True,1
76561198084542731,,2014,47790,No ratings yet,True,1
76561198103671881,,2015,570,1 of 1 people (100%) found this review helpful,True,1
mrpfresh,2 people found this review funny,2015,346110,1 of 2 people (50%) found this review helpful,True,1
GamerFag,,2012,440,No ratings yet,True,1
GamerFag,,2011,70,No ratings yet,True,1
GamerFag,,2011,420,No ratings yet,True,1
GamerFag,,2011,380,No ratings yet,True,1
GamerFag,,2011,220,No ratings yet,True,1
GamerFag,,2010,1250,No ratings yet,True,1
EHS-R3AP3R,2 people found this review funny,2015,339230,15 of 27 people (56%) found this review helpful,False,1
EHS-R3AP3R,,2015,349700,2 of 6 people (33%) found this review helpful,True,1
EHS-R3AP3R,,2013,226700,0 of 6 people (0%) found this review helpful,True,1
EHS-R3AP3R,,2013,209160,No ratings yet,True,1
chidori_647,,2013,219990,11 of 19 people (58%) found this review helpful,True,1
chidori_647,,2014,213670,3 of 6 people (50%) found this review helpful,True,1
chidori_647,,2013,21100,3 of 6 people (50%) found this review helpful,False,1
chidori_647,,2013,8190,1 of 3 people (33%) found this review helpful,True,1
chidori_647,,2013,215470,5 of 17 people (29%) found this review helpful,False,1
76561198092227136,,2014,730,2 of 5 people (40%) found this review helpful,True,1
76561198092227136,,2014,1250,No ratings yet,True,1
hellcat59,,2014,4000,2 of 3 people (67%) found this review helpful,True,1
76561198007584361,,2015,401650,4 of 23 people (17%) found this review helpful,True,1
tbimperator,,2012,35450,No ratings yet,True,1
Allahu_Akbar666,,2015,230410,1 of 2 people (50%) found this review helpful,True,1
Allahu_Akbar666,,2014,304930,No ratings yet,False,1
ulramite,,2014,290020,2 of 3 people (67%) found this review helpful,True,1
ulramite,,2014,248860,0 of 1 people (0%) found this review helpful,True,1
-GM-Dragon,,2014,226700,12 of 14 people (86%) found this review helpful,False,1
-GM-Dragon,,2015,244850,No ratings yet,True,1
76561198054040292,,2015,298260,No ratings yet,True,1
76561198078799606,,2015,370240,No ratings yet,False,1
76561198078799606,,2015,730,No ratings yet,True,1
76561198078799606,,2014,233450,No ratings yet,True,1
I_DID_911_JUST_SAYING,,2013,221260,No ratings yet,True,2
diabeticfuck,3 people found this review funny,2015,218620,2 of 6 people (33%) found this review helpful,True,1
diabeticfuck,,2015,419070,No ratings yet,True,1
