id,horas_jugadas,app_name,release_date,Strategy,Action,Indie,Casual,Simulation,RPG,Adventure,Singleplayer,count,recommend,sentiment_analysis
420,2176.7833333333333,Half-Life 2: Episode Two,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0
500,12633.333333333334,Left 4 Dead,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.9666666666666667,1.1333333333333333
550,41700.1,Left 4 Dead 2,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,703.0,0.9786628733997155,1.1180654338549076
620,14842.05,Portal 2,2011.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,345.0,0.991304347826087,1.0956521739130434
730,265689.75,Counter-Strike: Global Offensive,2012.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2979.0,0.93689157435381,1.1322591473648875
1200,587.9833333333333,Red Orchestra: Ostfront 41-45,2006.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
1250,37344.299999999996,Killing Floor,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,313.0,0.9776357827476039,1.099041533546326
1280,111.16666666666666,Darkest Hour: Europe '44-'45,2009.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1510,494.1333333333333,Uplink,2006.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0
1520,384.55,DEFCON,2006.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,0.75,1.0
1670,27.46666666666667,Iron Warriors: T - 72 Tank Command,2006.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1690,333.25,Space Empires V,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
1900,265.1166666666667,Earth 2160,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1930,628.6666666666666,Two Worlds Epic Edition,2009.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0
2200,138.48333333333332,Quake III Arena,1999.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
2270,63.5,Wolfenstein 3D,1994.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
2280,121.56666666666666,Ultimate Doom,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.875
2300,121.46666666666667,DOOM II,1994.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
2310,233.16666666666666,QUAKE,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.3333333333333333
2400,1367.3333333333333,The Ship: Murder Party,2006.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,0.95,1.1
2420,209.43333333333334,The Ship: Single Player,2006.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
2450,316.28333333333336,Bloody Good Time,2010.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8,1.2
2500,445.03333333333336,Shadowgrounds,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2570,6.2333333333333325,Vigil: Blood Bitterness™,2007.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2590,58.13333333333333,Alpha Prime,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0
2600,916.8166666666666,Vampire: The Masquerade - Bloodlines,2004.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0
2620,449.6166666666667,Call of Duty®,2003.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
2630,905.8666666666666,Call of Duty® 2,2005.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2640,248.45,Call of Duty: United Offensive,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
2700,688.0666666666666,RollerCoaster Tycoon® 3: Platinum,2006.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,1.1428571428571428
2810,168.93333333333334,X3: Reunion,2005.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2820,1431.4333333333334,X3: Terran Conflict,2008.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0
2870,606.7333333333333,X Rebirth,2013.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.3333333333333333,0.9166666666666666
2990,375.81666666666666,FlatOut 2™,2006.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.2
3050,6.6,Xpand Rally Xtreme,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3170,190.31666666666666,King's Bounty: Armored Princess,2009.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3320,101.08333333333333,Insaniquarium Deluxe,2006.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0
3390,21.933333333333334,Feeding Frenzy 2 Deluxe,2006.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
3450,53.35,Typer Shark! Deluxe,2006.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3480,456.1,Peggle Deluxe,2007.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.25
3483,108.36666666666666,Peggle Extreme,2007.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.8888888888888888,0.8888888888888888
3590,4789.383333333333,Plants vs. Zombies GOTY Edition,2009.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,1.3333333333333333
3620,78.48333333333333,Zuma's Revenge!,2009.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3700,423.6666666666667,Sniper Elite,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0
3710,73.06666666666666,Judge Dredd: Dredd vs. Death,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
3720,394.4,Evil Genius,2004.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
3730,142.31666666666666,Aliens versus Predator Classic 2000,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0
3800,109.46666666666667,Advent Rising,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3830,2142.3333333333335,Psychonauts,2005.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,1.0
3900,744.9333333333333,Sid Meier's Civilization® IV,2005.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,1.2
3910,398.0833333333333,Sid Meier's Civilization® III Complete,2001.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0
3920,347.95,Sid Meier's Pirates!,2005.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0
4000,126377.98333333334,Garry's Mod,2006.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1551.0,0.9761444229529336,1.1031592520954223
4500,2075.233333333333,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.8571428571428571,1.0
4560,1510.1166666666666,Company of Heroes - Legacy Edition,2006.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0,1.0,1.1304347826086956
4570,1096.9166666666665,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.4444444444444444
4580,780.45,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,1.0
4700,2161.2,Medieval II: Total War™,2006.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,1.0,1.1666666666666667
4760,2444.883333333333,Rome: Total War™ - Collection,2004.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,1.0,1.1764705882352942
4850,20.933333333333334,Cossacks: Back to War,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4920,3994.483333333333,Natural Selection 2,2012.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,0.8867924528301887,1.0188679245283019
6000,389.8,STAR WARS™ Republic Commando™,2005.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,1.0909090909090908
6020,638.3833333333333,STAR WARS™ Jedi Knight - Jedi Academy™,2003.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,1.0,1.0
6030,448.09999999999997,STAR WARS™ Jedi Knight II - Jedi Outcast™,2003.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
6060,2811.733333333333,"Star Wars: Battlefront 2 (Classic, 2005)",2005.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,88.0,0.9545454545454546,1.0681818181818181
6120,274.1166666666667,Shank,2010.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
6220,55.483333333333334,FlatOut,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.3333333333333333
6310,176.55,The Longest Journey,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6370,24.566666666666666,Bloodline Champions,2011.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6420,72.93333333333334,Nexus - The Jupiter Incident,2004.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
6550,85.1,Devil May Cry® 3 Special Edition,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.75,0.75
6800,52.4,Commandos: Behind Enemy Lines,1998.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
6850,209.5,Hitman 2: Silent Assassin,2002.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
6860,1283.1,Hitman: Blood Money,2006.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,1.0,1.1538461538461537
6870,55.53333333333333,Battlestations: Midway,2007.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
6880,249.48333333333332,Just Cause,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.8333333333333334,1.1666666666666667
6900,257.48333333333335,Hitman: Codename 47,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
6910,1217.8833333333334,Deus Ex: Game of the Year Edition,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,0.8823529411764706,1.0588235294117647
6980,184.4,Thief: Deadly Shadows,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
7000,171.06666666666666,Tomb Raider: Legend,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
7200,598.3833333333333,Trackmania United Forever Star Edition,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.6666666666666666,1.3333333333333333
7510,446.5333333333333,X-Blades,2009.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7520,1203.1666666666667,Two Worlds II HD,2011.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.6,1.2
7600,463.6166666666667,Sid Meier's Railroads!,2006.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
7660,24.566666666666666,X-COM: Apocalypse,1997.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7670,3029.5,BioShock™,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,62.0,0.9838709677419355,1.032258064516129
7730,8.916666666666666,X-COM: Interceptor,1998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7760,527.2666666666667,X-COM: UFO Defense,1993.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
7770,23.066666666666666,X-COM: Enforcer,2001.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7830,509.1166666666667,Men of War™,2009.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
7840,7.433333333333334,Death Track®: Resurrection,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7860,73.93333333333334,NecroVision,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
7940,3769.0,Call of Duty® 4: Modern Warfare®,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.8666666666666667,0.9333333333333333
8000,154.66666666666666,Tomb Raider: Anniversary,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
8080,142.86666666666667,Kane and Lynch: Dead Men™,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.6666666666666666,1.3333333333333333
8170,95.78333333333333,Battlestations Pacific,2009.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.6666666666666666,1.0
8190,9944.466666666667,Just Cause 2,2010.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,169.0,0.9585798816568047,1.0769230769230769
8310,3.1333333333333333,Bone: Out From Boneville,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
8340,42.233333333333334,Strong Bad's Cool Game for Attractive People: Season 1,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
8400,132.96666666666667,Geometry Wars: Retro Evolved,2007.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
8500,16490.63333333333,EVE Online,2003.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.5833333333333334,0.9166666666666666
8600,550.0166666666667,RACE 07,2007.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.8,1.0
8800,2278.8,Civilization IV: Beyond the Sword,2007.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
8850,2054.0499999999997,BioShock® 2,2010.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,0.8666666666666667,1.0666666666666667
8870,8103.683333333333,BioShock Infinite,2013.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,244.0,0.9754098360655737,1.069672131147541
8880,50.93333333333333,Freedom Force,2002.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
8930,42330.53333333333,Sid Meier's Civilization® V,2010.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,293.0,0.9795221843003413,1.1126279863481228
8970,18.2,Axel & Pixel,2010.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8980,15231.55,Borderlands,2009.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,40.0,1.0,1.1
9010,220.68333333333334,Return to Castle Wolfenstein,2001.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
9050,354.48333333333335,DOOM 3,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.6666666666666666,1.0
9070,54.916666666666664,DOOM 3 Resurrection of Evil,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
9160,11.133333333333333,Master Levels for Doom II,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9180,40.58333333333333,Commander Keen,1990.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.75,1.0
9200,2569.4666666666667,RAGE,2011.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,0.9285714285714286,1.1428571428571428
9350,455.23333333333335,Supreme Commander,2007.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
9420,1150.95,Supreme Commander: Forged Alliance,2011.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.0
9450,2057.0166666666664,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.9,1.0
9460,105.41666666666667,Frontlines™: Fuel of War™,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9480,4462.166666666667,Saints Row 2,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,0.8888888888888888,1.0833333333333333
9500,50.65,Gish,2004.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9730,2.283333333333333,Tycoon City: New York,2006.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9880,2373.0333333333333,Champions Online,2009.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0
9900,5544.45,Star Trek Online,2010.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,0.75,1.0714285714285714
9930,948.8833333333333,Test Drive Unlimited 2,2011.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.8571428571428571,1.0
9940,276.7,Blade Kitten,2010.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
10090,2766.6833333333334,Call of Duty: World at War,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,0.975,1.1
10130,88.88333333333333,TimeShift™,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
10140,21.866666666666664,3D Ultra™ Minigolf Adventures,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10150,887.2833333333333,Prototype™,2009.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,1.0,1.0
10180,3381.0333333333333,Call of Duty®: Modern Warfare® 2,2009.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,0.925,1.0125
10220,189.61666666666667,Postal III,2011.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.2,0.8
10500,3284.983333333333,Empire: Total War™,2009.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,1.0,1.0606060606060606
10680,1503.1,Aliens vs. Predator™,2010.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.8636363636363636,1.0909090909090908
11020,663.45,TrackMania Nations Forever,2008.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,0.9285714285714286,1.0714285714285714
11130,17.216666666666665,Sherlock Holmes: The Mystery of the Mummy,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
11140,15.633333333333333,Sherlock Holmes: The Awakened - Remastered Edition,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
11230,27.93333333333333,Gumboy Tournament,2008.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,1.0
11240,65.5,Space Trader: Merchant Marine,2008.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,1.0
11260,66.18333333333334,Pacific Storm Allies,2007.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
11280,305.1333333333333,Penguins Arena: Sedna's World,2008.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.25
11330,55.33333333333333,Obulis,2009.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
11340,51.63333333333333,Larva Mortus,2009.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
11360,15.15,Chains,2008.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
11390,128.98333333333332,Crash Time 2,2009.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.6666666666666666
11450,552.35,Overlord™,2007.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.1666666666666667
11590,46.11666666666667,Hospital Tycoon,2007.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0
11610,3082.7166666666667,Dragon Nest,2012.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.9473684210526315,1.105263157894737
12100,653.9000000000001,Grand Theft Auto III,2002.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0
12110,1135.3,Grand Theft Auto: Vice City,2003.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,1.0
12120,2799.116666666667,Grand Theft Auto: San Andreas,2005.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,0.8857142857142857,1.0857142857142856
12130,23.35,Manhunt,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
12140,717.7166666666667,Max Payne,2001.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0
12150,381.28333333333336,Max Payne 2: The Fall of Max Payne,2003.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
12200,1226.5833333333333,Bully: Scholarship Edition,2008.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,22.0,1.0,1.0454545454545454
12220,3438.95,Grand Theft Auto: Episodes from Liberty City,2010.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.7777777777777778,1.1111111111111112
12330,56.74999999999999,Darkstar One,2006.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
12340,45.36666666666667,Jack Keane,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
12360,247.1,FlatOut: Ultimate Carnage,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
12430,14.05,SlamIt Pinball Big Score,2009.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12470,10.116666666666665,Port Royale 2,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12480,1130.7666666666669,9th Company: Roots Of Terror,2009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12500,195.35,PuzzleQuest: Challenge of the Warlords,2007.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
12590,0.4833333333333332,Sprint Cars Road to Knoxville,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
12810,609.2833333333333,Overlord II,2009.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
12830,200.54999999999998,Operation Flashpoint: Dragon Rising,2009.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.6,1.2
12900,2587.9,AudioSurf,2008.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.0,0.9743589743589743,1.0769230769230769
13210,896.5999999999999,Unreal Tournament 3 Black,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0
13230,695.0333333333333,Unreal Tournament 2004: Editor's Choice Edition,2004.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0
13250,134.25,Unreal Gold,1998.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
